id,question,answer,supporting_quote,source_pdf,source_pdf_path,question_type,review_status,reviewer_notes,corrected_question,corrected_answer,corrected_quote,gold_chunk_ids
73,"Based on the document, is audio supported or not supported in the browser?",Audio is not supported.,Audio is not supported in your browser.,12MDFB8AD1B34BCB4D0A8F6869DA4A53082E.PDF,data\raw\12MDFB8AD1B34BCB4D0A8F6869DA4A53082E.PDF,comparative,,,,,,
74,What must be enabled before the page content can be viewed?,JavaScript,Please enable JavaScript to view the page content.,12MDFB8AD1B34BCB4D0A8F6869DA4A53082E.PDF,data\raw\12MDFB8AD1B34BCB4D0A8F6869DA4A53082E.PDF,temporal,,,,,,
75,What are the specific account number and IFSC code designated for making electronic payments of the compounding application fee to the Central Office in Mumbai?,The designated account number is 4116700100103201 and the IFSC code is RBIS0MBPA04.,"1	Central Office, Mumbai	4116700100103201	RBIS0MBPA04	fedcocefa@rbi.org.in",135MD89B55F672F36443FA02C0C53DC207FFF.PDF,data\raw\135MD89B55F672F36443FA02C0C53DC207FFF.PDF,exact_identifier,,,,,,
76,Within what timeframe must an applicant send an email intimation to the respective Reserve Bank of India office after making an electronic payment for the compounding application fee?,"The email intimation must be sent as soon as possible, but no later than 2 hours from the time of payment.","It may be ensured that intimation of payment of application fee, to respective Regional Office, CO Cell, or Central Office, as the case may be, shall be made as soon as possible but not later than 2 hours from time of payment, through an email as per the template provided in Para B of Annexure I.",135MD89B55F672F36443FA02C0C53DC207FFF.PDF,data\raw\135MD89B55F672F36443FA02C0C53DC207FFF.PDF,temporal,,,,,,
77,How do the simple interest rates used to calculate the maximum compounding amount for contraventions involving less than Rupees one lakh differ between reporting contraventions and all other contraventions?,"For reporting contraventions, the simple interest rate is 5% p.a., whereas for all other contraventions, the simple interest rate is 10% p.a.","In case the sum involved in contravention is less than Rupees one lakh, the total compounding amount payable shall not be more than amount of simple interest @5% p.a. calculated on the sum involved in contravention and for the period of contravention in case of reporting contraventions and @10% p.a. in respect of all other contraventions.",135MD89B55F672F36443FA02C0C53DC207FFF.PDF,data\raw\135MD89B55F672F36443FA02C0C53DC207FFF.PDF,comparative,,,,,,
78,"If an applicant is filing a compounding application for a foreign investment-related contravention, which specific office must they submit it to, and what is the total fee required (including GST)?","The application must be submitted to the Regional Office having jurisdiction over the registered office of the concerned investee Indian company, accompanied by a total fee of ₹11,800 (₹10,000 plus 18% GST).","With respect to jurisdiction to be exercised by Regional Offices, any compounding application related to foreign investment-related contraventions (as mentioned hereinabove) is to be submitted to the Regional Office having jurisdiction over the registered office of the investee Indian company concerned.

All compounding applications shall be submitted along with the prescribed fee of ₹10,000/- (plus applicable GST, which at present is 18%)",135MD89B55F672F36443FA02C0C53DC207FFF.PDF,data\raw\135MD89B55F672F36443FA02C0C53DC207FFF.PDF,multi_hop,,,,,,
79,"Under Section 13(1) of FEMA, 1999, what is the maximum penalty that can be imposed upon adjudication if the amount of the contravention is not directly quantifiable?","Up to Rupees Two lakhs, and if the contravention is a continuing one, a further penalty of up to Rupees Five thousand for every day after the first day during which the contravention continues.","he shall, upon adjudication, be liable to a penalty up to thrice the sum involved in such contravention where the amount is quantifiable, or up to Rupees Two lakhs where the amount is not directly quantifiable, and where the contravention is a continuing one, further penalty which may extend to Rupees Five thousand for every day after the first day during which the contravention continues.",135MD89B55F672F36443FA02C0C53DC207FFF.PDF,data\raw\135MD89B55F672F36443FA02C0C53DC207FFF.PDF,factoid,,,,,,
80,By what date must an ETP operator submit its annual compliance status report to the Reserve Bank of India for each financial year?,On or before the 30th of April of the succeeding financial year.,"An ETP operator shall furnish a report, in respect of each financial year, to the Reserve Bank, on the status of their compliance with these Directions and the terms and conditions prescribed to them at the time of grant of authorization or subsequently on or before the 30th of April of the succeeding financial year.",137MDEF04E0A142F948C58A9503C136E565AF.PDF,data\raw\137MDEF04E0A142F948C58A9503C136E565AF.PDF,temporal,,,,,,
81,"What is the specific notification number of the Master Direction issued by the Reserve Bank of India on June 16, 2025, regarding Electronic Trading Platforms?",Notification No. FMRD.MIOD.03/14.03.027/2025-26,"Notification No. FMRD.MIOD.03/14.03.027/2025-26 dated June 16, 2025",137MDEF04E0A142F948C58A9503C136E565AF.PDF,data\raw\137MDEF04E0A142F948C58A9503C136E565AF.PDF,exact_identifier,,,,,,
82,How does the data retention requirement for regular ETP activities compare to the retention requirement for data sought for an investigation by the Reserve Bank?,"Regular ETP activity data must be maintained for at least 10 years, whereas data sought for an investigation must be maintained for at least three years from the date of the investigation's completion.","All data relating to activities on the ETP shall be maintained in easily retrievable media for at least 10 years. Without prejudice to the minimum requirement for storage of data, the data sought for any investigation by the Reserve Bank or any other authority as required under Indian laws or regulations shall be maintained for at least three years from the date of completion of the investigation.",137MDEF04E0A142F948C58A9503C136E565AF.PDF,data\raw\137MDEF04E0A142F948C58A9503C136E565AF.PDF,comparative,,,,,,
83,"If an entity wants to apply to operate an ETP, what portal must they use to submit their application, and what minimum net-worth must they demonstrate to meet the financial eligibility criteria?",They must submit the application through the PRAVAAH portal and demonstrate a minimum net-worth of ₹5 crore.,"Entities satisfying the eligibility criteria prescribed under these Directions may submit an application, through the PRAVAAH portal of the Reserve Bank, in the format given in Annex - 1 to the Chief General Manager, Financial Markets Regulation Department, Reserve Bank of India, for grant of authorisation to operate an ETP. ... An entity seeking authorisation as an ETP operator under these Directions shall have a minimum net-worth of ₹5 crore (Rupees five crore only) and shall continue to maintain this minimum net-worth at all times.",137MDEF04E0A142F948C58A9503C136E565AF.PDF,data\raw\137MDEF04E0A142F948C58A9503C136E565AF.PDF,multi_hop,,,,,,
84,What unique identifiers must an ETP operator use to identify its members during the on-boarding process?,Legal Entity Identifier (LEI) and/or Permanent Account Number (PAN).,Identify its members uniquely using Legal Entity Identifier (LEI) and/or Permanent Account Number (PAN);,137MDEF04E0A142F948C58A9503C136E565AF.PDF,data\raw\137MDEF04E0A142F948C58A9503C136E565AF.PDF,factoid,,,,,,
85,What is the support ID listed in the document?,679480894917778591,Your support ID is: 679480894917778591.,13MDRD77DCF42C4E64B6C9A83C24EF5D4E188.PDF,data\raw\13MDRD77DCF42C4E64B6C9A83C24EF5D4E188.PDF,exact_identifier,,,,,,
86,What is the purpose of the question asking what code is in the image?,To test whether the visitor is human and to prevent automated spam submission.,This question is for testing whether you are a human visitor and to prevent automated spam submission.,13MDRD77DCF42C4E64B6C9A83C24EF5D4E188.PDF,data\raw\13MDRD77DCF42C4E64B6C9A83C24EF5D4E188.PDF,factoid,,,,,,
87,"What browser limitation is mentioned, and what must be enabled to view the page content?","Audio is not supported in the browser, and JavaScript must be enabled to view the page content.",Please enable JavaScript to view the page content. Audio is not supported in your browser.,13MDRD77DCF42C4E64B6C9A83C24EF5D4E188.PDF,data\raw\13MDRD77DCF42C4E64B6C9A83C24EF5D4E188.PDF,multi_hop,,,,,,
88,How does the document contrast the requirement for JavaScript with the status of Audio in the browser?,"JavaScript is required to be enabled to view page content, while Audio is stated as not supported in the browser.",Please enable JavaScript to view the page content. Audio is not supported in your browser.,13MDRD77DCF42C4E64B6C9A83C24EF5D4E188.PDF,data\raw\13MDRD77DCF42C4E64B6C9A83C24EF5D4E188.PDF,comparative,,,,,,
89,What action must be taken regarding JavaScript before a visitor can view the page content?,The visitor must enable JavaScript.,Please enable JavaScript to view the page content.,13MDRD77DCF42C4E64B6C9A83C24EF5D4E188.PDF,data\raw\13MDRD77DCF42C4E64B6C9A83C24EF5D4E188.PDF,temporal,,,,,,
90,What is the support ID associated with the user's session?,679480894918488218,Your support ID is: 679480894918488218.,141MD7D7F25DEBF1F48449E20D685E4B014E5.PDF,data\raw\141MD7D7F25DEBF1F48449E20D685E4B014E5.PDF,exact_identifier,,,,,,
91,What is the status of audio support in the user's browser?,Audio is not supported in the user's browser.,Audio is not supported in your browser.,141MD7D7F25DEBF1F48449E20D685E4B014E5.PDF,data\raw\141MD7D7F25DEBF1F48449E20D685E4B014E5.PDF,factoid,,,,,,
92,Why is the user being asked to identify the code in the image?,To test whether the user is a human visitor and to prevent automated spam submission.,This question is for testing whether you are a human visitor and to prevent automated spam submission.,141MD7D7F25DEBF1F48449E20D685E4B014E5.PDF,data\raw\141MD7D7F25DEBF1F48449E20D685E4B014E5.PDF,multi_hop,,,,,,
93,How does the requirement for JavaScript compare to the browser's capability for audio?,"JavaScript must be enabled by the user to view the page content, whereas audio is simply not supported in the browser.","Please enable JavaScript to view the page content.
Audio is not supported in your browser.",141MD7D7F25DEBF1F48449E20D685E4B014E5.PDF,data\raw\141MD7D7F25DEBF1F48449E20D685E4B014E5.PDF,comparative,,,,,,
94,What is the first instruction given to the user before they are asked to identify the code in the image?,The user is first instructed to enable JavaScript to view the page content.,Please enable JavaScript to view the page content.,141MD7D7F25DEBF1F48449E20D685E4B014E5.PDF,data\raw\141MD7D7F25DEBF1F48449E20D685E4B014E5.PDF,temporal,,,,,,
95,"What is the specific notification number of the Master Direction – Reserve Bank of India (Repurchase Transactions (Repo)) Directions, 2025?",FMRD.DIRD.05/14.03.038/2025-26,"Notification No. FMRD.DIRD.05/14.03.038/2025-26 dated Nov 11, 2025",142MD1111202598527CBD7B6D4BFC9792D568AD07F27D.PDF,data\raw\142MD1111202598527CBD7B6D4BFC9792D568AD07F27D.PDF,exact_identifier,,,,,,
96,Within what timeframe must repo trades in Government securities be reported to the Clearcorp Repo Order Matching System (CROMS) if they are not executed on recognized stock exchanges or approved electronic trading platforms?,Within 15 minutes of the trade.,"All repo transactions, other than those on recognized stock exchanges or on approved electronic trading platforms, that disseminate trade information on the platforms, shall be reported within 15 minutes of the trade: repo in Government securities to the Clearcorp Repo Order Matching System (CROMS) and repo in other eligible securities to the reporting platform F-TRAC, respectively.",142MD1111202598527CBD7B6D4BFC9792D568AD07F27D.PDF,data\raw\142MD1111202598527CBD7B6D4BFC9792D568AD07F27D.PDF,temporal,,,,,,
97,How do the minimum haircut requirements differ between Commercial Papers (CPs) and listed corporate bonds under the 2025 Directions?,"Commercial Papers (CPs) carry a minimum haircut of 1.5% of market value, whereas listed corporate bonds and debentures carry a higher minimum haircut of 2% of market value.",Listed corporate bonds and debentures shall carry a minimum haircut of 2% of market value. ... CPs and CDs shall carry a minimum haircut of 1.5% of market value.,142MD1111202598527CBD7B6D4BFC9792D568AD07F27D.PDF,data\raw\142MD1111202598527CBD7B6D4BFC9792D568AD07F27D.PDF,comparative,,,,,,
98,"If an unlisted company wants to participate in a repo transaction under these Directions, what specific condition must be met regarding the collateral it uses?","The unlisted company must have been issued special securities by the Government of India, and it can only use those special securities as collateral.","Any unlisted company, which has been issued special securities by the Government of India, using only such special securities as collateral.",142MD1111202598527CBD7B6D4BFC9792D568AD07F27D.PDF,data\raw\142MD1111202598527CBD7B6D4BFC9792D568AD07F27D.PDF,multi_hop,,,,,,
99,"Which specific repo and reverse repo transactions are explicitly excluded from the applicability of the Master Direction – Reserve Bank of India (Repurchase Transactions (Repo)) Directions, 2025?",Repo and reverse repo transactions under the Liquidity Adjustment Facility (LAF) and the Marginal Standing Facility (MSF).,"These Directions shall not apply to repo/ reverse repo transactions under the Liquidity Adjustment Facility and the Marginal Standing Facility, which would continue to be regulated as per the existing regulations.",142MD1111202598527CBD7B6D4BFC9792D568AD07F27D.PDF,data\raw\142MD1111202598527CBD7B6D4BFC9792D568AD07F27D.PDF,factoid,,,,,,
